0.352 pkt: 97 | 3 duplicated ACKs
0.352 pkt: 98 | retransmitted
0.353 ACK: 97 | received
0.355 ACK: 97 | received
0.355 pkt: 97 | 3 duplicated ACKs
0.355 pkt: 98 | retransmitted
0.356 ACK: 97 | received
0.357 ACK: 97 | received
0.357 pkt: 97 | 3 duplicated ACKs
0.357 pkt: 98 | retransmitted
0.357 ACK: 97 | received
0.359 ACK: 20 | received
0.359 pkt: 97 | 3 duplicated ACKs
0.359 pkt: 98 | retransmitted
0.359 ACK: 97 | received
0.360 ACK: 98 | received
0.360 pkt: 130 | sent
0.362 ACK: 99 | received
0.362 pkt: 131 | sent
0.362 ACK: 100 | received
0.362 pkt: 132 | sent
0.364 ACK: 20 | received
0.364 ACK: 101 | received
0.365 pkt: 133 | sent
0.365 ACK: 102 | received
0.365 pkt: 134 | sent
0.366 ACK: 103 | received
0.366 pkt: 135 | sent
0.367 ACK: 104 | received
0.367 pkt: 136 | sent
0.369 ACK: 105 | received
0.369 pkt: 137 | sent
0.370 ACK: 106 | received
0.370 pkt: 138 | sent
0.371 ACK: 20 | received
0.371 ACK: 107 | received
0.371 pkt: 139 | sent
0.372 ACK: 108 | received
0.372 pkt: 140 | sent
0.372 ACK: 109 | received
0.373 pkt: 141 | sent
0.375 ACK: 109 | received
0.376 ACK: 109 | received
0.376 pkt: 109 | 3 duplicated ACKs
0.376 pkt: 110 | retransmitted
0.377 ACK: 109 | received
0.377 ACK: 109 | received
0.378 pkt: 109 | 3 duplicated ACKs
0.378 pkt: 110 | retransmitted
0.379 ACK: 109 | received
0.381 ACK: 109 | received
0.381 pkt: 109 | 3 duplicated ACKs
0.381 pkt: 110 | retransmitted
0.381 ACK: 109 | received
0.382 ACK: 109 | received
0.383 pkt: 109 | 3 duplicated ACKs
0.383 pkt: 110 | retransmitted
0.383 ACK: 109 | received
0.385 ACK: 109 | received
0.385 pkt: 109 | 3 duplicated ACKs
0.385 pkt: 110 | retransmitted
0.385 ACK: 109 | received
0.387 ACK: 109 | received
0.388 pkt: 109 | 3 duplicated ACKs
0.388 pkt: 110 | retransmitted
0.388 ACK: 109 | received
0.389 ACK: 109 | received
0.391 pkt: 109 | 3 duplicated ACKs
0.391 pkt: 110 | retransmitted
0.391 ACK: 109 | received
0.391 ACK: 109 | received
0.391 pkt: 109 | 3 duplicated ACKs
0.391 pkt: 110 | retransmitted
0.393 ACK: 109 | received
0.393 ACK: 109 | received
0.393 pkt: 109 | 3 duplicated ACKs
0.393 pkt: 110 | retransmitted
0.395 ACK: 109 | received
0.397 ACK: 109 | received
0.397 pkt: 109 | 3 duplicated ACKs
0.397 pkt: 110 | retransmitted
0.397 ACK: 109 | received
0.398 ACK: 109 | received
0.398 pkt: 109 | 3 duplicated ACKs
0.398 pkt: 110 | retransmitted
0.405 ACK: 109 | received
0.405 ACK: 109 | received
0.405 pkt: 109 | 3 duplicated ACKs
0.405 pkt: 110 | retransmitted
0.405 ACK: 109 | received
0.405 ACK: 109 | received
0.405 pkt: 109 | 3 duplicated ACKs
0.405 pkt: 110 | retransmitted
0.405 ACK: 109 | received
0.412 ACK: 109 | received
0.412 pkt: 109 | 3 duplicated ACKs
0.412 pkt: 110 | retransmitted
0.412 ACK: 109 | received
0.412 ACK: 109 | received
0.412 pkt: 109 | 3 duplicated ACKs
0.412 pkt: 110 | retransmitted
0.417 ACK: 109 | received
0.418 ACK: 109 | received
